SpecimenID,Genus,Species,Family,Unnamed: 4
706,Cordia,trichotoma,,
707,Cordia,trichotoma,,
708,Patagonula,americana,,
709,Ricinus,communis,,
710,Tabebuia,chrysantha,,
711,Tabebuia,chrysantha,,
712,Haplormosia,monophylla,,
713,Tabebuia,rosea,,
714,Tabebuia,longipes,,
715,Haplormosia,monophylla,,
716,Cordia,alliodora,,
717,Cordia,alliodora,,
718,Cordia,goeldiana,,
719,Cordia,goeldiana,,
720,Cordia,alliodora,,
721,Fraxinus,caroliniana,,
722,Carapa,guianensis,,
723,Samanea,saman,,
724,Andira,inermis,,
725,Swietenia,humilis,,
726,Bombacopsis,quinata,,
727,Enterolobium,cyclocarpum,,
728,Carapa,guianensis,,
729,Carapa,guianensis,,
730,Carapa,guianensis,,
731,Cordia,alliodora,,
732,Kochia,scoparia,,
733,Protium,schomburgkianum,,
734,Caryocar,costaricense,,
735,Shorea,almon,,
736,Sambucus,callicarpa,,
737,Rhus,copallina,,
738,Cercis,canadensis,,
739,Ostrya,knowltoni,,
740,Rhododendron,catawbiense,,
741,Juglans,californica,,
742,Forestiera,acuminata,,
743,Picea,breweriana,,
744,Rhus,microphylla,,
745,Juniperus,pinchotii,,
746,Celtis,laevigata,,
747,Juglans,microcarpa,,
748,Senegalia,greggii,,
749,Koeberlinia,spinosa,,
750,Prunus,virginiana,,
751,Ilex,vomitoria,,
752,Salix,scouleriana,,
753,Juniperus,scopulorum,,
754,Salix,nigra,,
755,Populus,deltoides,,
756,Ulmus,crassifolia,,
757,Quercus,phellos,,
758,Carya,aquatica,,
759,Populus,heterophylla,,
760,Castanopsis,floridana,,
761,Populus,acuminata,,
762,Fraxinus,anomala,,
763,Sassafras,albidium,,
764,Vaccinium,arboreum,,
765,Picea,breweriana,,
766,Celtis,reticulata,,
767,Betula,alleghaniensis,,
768,Sassafras,albidium,,
769,Populus,balsamifera,,
770,Catalpa,bignonioides,,
771,Abies,fraseri,,
772,Picea,rubens,,
773,Abies,balsamea,,
774,Pinus,strobus,,
775,Sorbus,americana,,
776,Tilia,americana,,
777,Viburnum,cassinoides,,
778,Arctostaphylos,canescens,,
779,Juglans,cinerea,,
780,Abies,balsamea,,
781,Larix,laricina,,
782,Viburnum,prunifolium,,
783,Nemopanthus,mucronatus,,
784,Populus,balsamifera,,
785,Quercus,phellos,,
786,Aesculus,sylvatica,,
787,Juniperus,virginiana,,
788,Quercus,falcata,,
789,Rhus,typhina,,
790,Malus,coronaria,,
791,Prunus,americana,,
792,Chamaecyparis,thyoides,,
793,Quercus,oglethorpensis,,
794,Ulmus,alata,,
795,Carya,ovalis,,
796,Condalia,hookeri,,
797,Zanthoxylum,fagara,,
798,Celtis,pallida,,
799,Parkinsonia,aculeata,,
800,Ehretia,anacua,,
801,Ungnadia,speciosa,,
802,Sapindus,drummondii,,
803,Ailanthus,altissima,,
804,Betula,alleghaniensis,,
805,Quercus,bicolor,,
806,Prunus,prunifolia,,
807,Quercus,garryana,,
808,Salix,scouleriana,,
809,Acer,circinatum,,
810,Fraxinus,quadrangulata,,
811,Juglans,nigra,,
812,Catalpa,speciosa,,
813,Robinia,pseudoacacia,,
814,Quercus,imbricaria,,
815,Juglans,nigra,,
816,Pinus,contorta,,
817,Arbutus,menziesii,,
818,Taxus,brevifolia,,
819,Corylus,cornuta,,
820,Prosopis,juliflora,,
821,Larix,lyallii,,
822,Cercocarpus,ledifolius,,
823,Casuarina,equisetifolia,,
824,Larix,lyallii,,
825,Betula,nigra,,
826,Betula,nigra,,
827,Halesia,monticola,,
828,Pinus,ponderosa,,
829,Tilia,heterophylla,,
830,Tilia,americana,,
831,Acer,saccharinum,,
832,Ulmus,americana,,
833,Myrica,californica,,
834,Lithocarpus,densiflorus,,
835,Torreya,californica,,
836,Chrysolepis,chrysophylla,,
837,Carya,ovalis,,
838,Eugenia,confusa,,
839,Gymnanthes,lucida,,
840,Pinus,banksiana,,
841,Pinus,strobus,,
842,Senegalia,greggii,,
843,Chilopsis,linearis,,
844,Alnus,oblongifolia,,
845,Celtis,reticulata,,
846,Populus,balsamifera,,
847,Pinus,ponderosa,,
848,Styrax,grandifolius,,
849,Ilex,decidua,,
850,Quercus,texana,,
851,Quercus,lyrata,,
852,Cyrilla,racemiflora,,
853,Broussonetia,papyrifera,,
854,Amelanchier,florida,,
855,Acer,saccharum,,
856,Sorbus,decora,,
857,Rhododendron,maximum,,
858,Acer,pensylvanicum,,
859,Quercus,ilicifolia,,
860,Asimina,triloba,,
861,Quercus,palustris,,
862,Zanthoxylum,americanum,,
863,Quercus,prinoides,,
864,Acer,rubrum,,
865,Chamaecyparis,thyoides,,
866,Catalpa,speciosa,,
867,Pinus,jeffreyi,,
868,Pinus,jeffreyi,,
869,Pinus,ponderosa,,
870,Pinus,lambertiana,,
871,Pinus,lambertiana,,
872,Populus,deltoides,,
873,Salix,lasiandra,,
874,Carya,ovata,,
875,Quercus,coccinea,,
876,Umbellularia,californica,,
877,Sequoia,gigantea,,
878,Sequoia,gigantea,,
879,Abies,concolor,,
880,Pinus,ponderosa,,
881,Lithocarpus,lucidus,,
882,Calocedrus,decurrens,,
883,Betula,occidentalis,,
884,Acer,grandidentatum,,
885,Populus,trichocarpa,,
886,Arbutus,menziesii,,
887,Carya,ovalis,,
888,Carya,ovata,,
889,Carya,ovata,,
890,Magnolia,virginiana,,
891,Robinia,subvelutina,,
892,Prunus,virens,,
893,Populus,tremuloides,,
894,Carya,pallida,,
895,Ceanothus,arboreus,,
896,Pseudotsuga,menziesii,,
897,Betula,populifolia,,
898,Celtis,laevigata,,
899,Pinus,aristata,,
900,Populus,trichocarpa,,
901,Juniperus,ashei,,
902,Cladrastis,kentukea,,
903,Cupressus,macnabiana,,
904,Tilia,americana,,
905,Castanea,pumila,,
906,Amelanchier,canadensis,,
907,Amelanchier,canadensis,,
908,Nyssa,ogeche,,
909,Alnus,tenuifolia,,
910,Kalmia,latifolia,,
911,Pinus,strobus,,
912,Pinus,strobus,,
913,Pinus,resinosa,,
914,Miconia,sp.,,
915,Diospyros,cf. zenkeri,,
916,Pinus,echinata,,
917,Pinus,rigida,,
918,Pinus,taeda,,
919,Strychnos,tarienensis,,
920,Pinus,palustris,,
921,Pinus,glabra,,
922,Pinus,contorta,,
923,Pinus,monticola,,
924,Pinus,ponderosa,,
925,Picea,rubens,,
926,Picea,glauca,,
927,Picea,mariana,,
928,Picea,sitchensis,,
929,Anomospermum,schomburgkii,,
930,Trichilia,elegans,,
931,Abies,amabilis,,
932,Abies,grandis,,
933,Abies,procera,,
934,Abies,concolor,,
935,Abies,lasiocarpa,,
